    x:          approx:          exact:            relative error(log10)
     0.33000000     0.63901733     0.63313181     -2.0317098
     0.33100000     0.63837483     0.63249885     -2.0319799
     0.33200000     0.63772868     0.63186224     -2.0322482
     0.33300000     0.63707891     0.63122201     -2.0325147
     0.33400000     0.63642556     0.63057821     -2.0327795
     0.33500000     0.63576867     0.62993085     -2.0330425
     0.33600000     0.63510827     0.62928000     -2.0333038
     0.33700000     0.63444440     0.62862566     -2.0335634
     0.33800000     0.63377709     0.62796789     -2.0338213
     0.33900000     0.63310637     0.62730671     -2.0340775
     0.34000000     0.63243228     0.62664217     -2.0343321
     0.34100000     0.63175486     0.62597428     -2.0345851
     0.34200000     0.63107413     0.62530309     -2.0348365
     0.34300000     0.63039013     0.62462863     -2.0350862
     0.34400000     0.62970289     0.62395093     -2.0353344
     0.34500000     0.62901245     0.62327003     -2.0355811
     0.34600000     0.62831883     0.62258595     -2.0358262
     0.34700000     0.62762207     0.62189872     -2.0360698
     0.34800000     0.62692219     0.62120839     -2.0363119
     0.34900000     0.62621924     0.62051497     -2.0365525
     0.35000000     0.62551323     0.61981851     -2.0367916
     0.35100000     0.62480421     0.61911902     -2.0370293
     0.35200000     0.62409219     0.61841655     -2.0372656
     0.35300000     0.62337722     0.61771111     -2.0375004
     0.35400000     0.62265932     0.61700274     -2.0377338
     0.35500000     0.62193851     0.61629148     -2.0379659
     0.35600000     0.62121483     0.61557734     -2.0381966
     0.35700000     0.62048831     0.61486035     -2.0384259
     0.35800000     0.61975897     0.61414055     -2.0386539
     0.35900000     0.61902684     0.61341797     -2.0388806
     0.36000000     0.61829196     0.61269262     -2.0391060
     0.36100000     0.61755434     0.61196454     -2.0393301
     0.36200000     0.61681402     0.61123376     -2.0395529
     0.36300000     0.61607102     0.61050030     -2.0397744
     0.36400000     0.61532536     0.60976418     -2.0399947
     0.36500000     0.61457709     0.60902544     -2.0402138
     0.36600000     0.61382621     0.60828410     -2.0404317
     0.36700000     0.61307276     0.60754019     -2.0406483
     0.36800000     0.61231676     0.60679373     -2.0408638
     0.36900000     0.61155824     0.60604475     -2.0410781
     0.37000000     0.61079722     0.60529327     -2.0412913
     0.37100000     0.61003373     0.60453932     -2.0415033
     0.37200000     0.60926779     0.60378292     -2.0417142
     0.37300000     0.60849943     0.60302410     -2.0419239
     0.37400000     0.60772867     0.60226288     -2.0421326
     0.37500000     0.60695554     0.60149928     -2.0423402
     0.37600000     0.60618005     0.60073333     -2.0425467
     0.37700000     0.60540223     0.59996505     -2.0427521
     0.37800000     0.60462211     0.59919447     -2.0429565
